State,Date,Population,Food Wasted (Tonnes),Wastage by Type,Sector,Greenhouse Gas Emissions (CO2eq),Waste Disposal Method,Food Insecurity Rate (%),Cold Chain Infrastructure,Economic Cost of Waste (INR Cr)
Karnataka,2010-01-01,61111555,280094.63,"{'Fruits': 70023.65723555215, 'Vegetables': 84028.38868266258, 'Grains': 56018.925788441724, 'Dairy': 42014.19434133129, 'Meat': 14004.731447110431, 'Processed Foods': 14004.731447110431}",Food Processing,277000.44,"{'Landfill': 156108.74731015947, 'Composting': 74165.4182103103, 'Recycling': 36006.4326880322}",21.66,High,94143601.39
Kerala,2010-01-01,32498823,148952.94,"{'Fruits': 37238.23578900804, 'Vegetables': 44685.882946809645, 'Grains': 29790.588631206432, 'Dairy': 22342.941473404822, 'Meat': 7447.647157801608, 'Processed Foods': 7447.647157801608}",Food Processing,170462.33,"{'Landfill': 89004.08673223307, 'Composting': 22519.874401603145, 'Recycling': 17031.803065853474}",27.96,High,26624375.13
Madhya Pradesh,2010-01-01,70997320,325404.39,"{'Fruits': 81351.09628743028, 'Vegetables': 97621.31554491633, 'Grains': 65080.877029944226, 'Dairy': 48810.657772458166, 'Meat': 16270.219257486056, 'Processed Foods': 16270.219257486056}",Retail,329721.67,"{'Landfill': 209738.4076086968, 'Composting': 47347.181531377064, 'Recycling': 62279.20554468768}",38.68,Low,127065616.65
Maharashtra,2010-01-01,110741354,507564.54,"{'Fruits': 126891.1349050469, 'Vegetables': 152269.3618860563, 'Grains': 101512.90792403753, 'Dairy': 76134.68094302814, 'Meat': 25378.226981009382, 'Processed Foods': 25378.226981009382}",Household,577935.12,"{'Landfill': 297766.2521238964, 'Composting': 71823.97906958846, 'Recycling': 51985.54001627899}",25.09,Medium,309146114.26
Manipur,2010-01-01,2129650,9760.9,"{'Fruits': 2440.2247973224653, 'Vegetables': 2928.269756786958, 'Grains': 1952.1798378579724, 'Dairy': 1464.134878393479, 'Meat': 488.0449594644931, 'Processed Foods': 488.0449594644931}",Household,11576.71,"{'Landfill': 4944.596587408594, 'Composting': 2649.8444192968423, 'Recycling': 1175.3747053964669}",26.48,High,114330.18
Meghalaya,2010-01-01,2248749,10306.77,"{'Fruits': 2576.6925068351793, 'Vegetables': 3092.031008202215, 'Grains': 2061.3540054681434, 'Dairy': 1546.0155041011076, 'Meat': 515.3385013670359, 'Processed Foods': 515.3385013670359}",Retail,12020.35,"{'Landfill': 5778.17846921247, 'Composting': 2347.336678853214, 'Recycling': 1867.6200503004675}",25.06,Low,127475.41
Mizoram,2010-01-01,893522,4095.31,"{'Fruits': 1023.8275497995216, 'Vegetables': 1228.5930597594258, 'Grains': 819.0620398396173, 'Dairy': 614.2965298797129, 'Meat': 204.76550995990434, 'Processed Foods': 204.76550995990434}",Retail,3634.58,"{'Landfill': 2067.5229416713537, 'Composting': 670.2931620565635, 'Recycling': 434.1626104309547}",25.2,High,20125.88
Nagaland,2010-01-01,1956148,8965.68,"{'Fruits': 2241.419677155646, 'Vegetables': 2689.703612586775, 'Grains': 1793.1357417245167, 'Dairy': 1344.8518062933874, 'Meat': 448.2839354311292, 'Processed Foods': 448.2839354311292}",Household,8479.94,"{'Landfill': 5160.393105933357, 'Composting': 2570.581376753697, 'Recycling': 1538.988155674538}",27.3,High,96460.07
Odisha,2010-01-01,41837348,191754.51,"{'Fruits': 47938.62820057411, 'Vegetables': 57526.35384068893, 'Grains': 38350.90256045929, 'Dairy': 28763.176920344464, 'Meat': 9587.725640114822, 'Processed Foods': 9587.725640114822}",Food Processing,209416.6,"{'Landfill': 107211.14842315711, 'Composting': 42645.876644598095, 'Recycling': 33615.8124927525}",31.37,Medium,44123751.82
Punjab,2010-01-01,27592991,126467.88,"{'Fruits': 31616.96942741395, 'Vegetables': 37940.36331289674, 'Grains': 25293.57554193116, 'Dairy': 18970.18165644837, 'Meat': 6323.39388548279, 'Processed Foods': 6323.39388548279}",Agriculture,114635.39,"{'Landfill': 75233.6610734716, 'Composting': 28291.96092813101, 'Recycling': 13782.017318834223}",31.67,High,19192948.91
Rajasthan,2010-01-01,68520859,314053.94,"{'Fruits': 78513.48539105164, 'Vegetables': 94216.18246926197, 'Grains': 62810.788312841316, 'Dairy': 47108.091234630985, 'Meat': 15702.697078210329, 'Processed Foods': 15702.697078210329}",Agriculture,347966.69,"{'Landfill': 176215.1564777418, 'Composting': 80237.43661256431, 'Recycling': 47219.39652894152}",25.38,Low,118355853.85
Sikkim,2010-01-01,523323,2398.57,"{'Fruits': 599.6415741474598, 'Vegetables': 719.5698889769517, 'Grains': 479.71325931796787, 'Dairy': 359.78494448847584, 'Meat': 119.92831482949197, 'Processed Foods': 119.92831482949197}",Food Processing,2695.06,"{'Landfill': 1614.2793192577954, 'Composting': 455.04958315708393, 'Recycling': 311.938763438203}",21.53,Medium,6903.74
Tamil Nadu,2010-01-01,71262020,326617.6,"{'Fruits': 81654.39886606818, 'Vegetables': 97985.27863928181, 'Grains': 65323.51909285455, 'Dairy': 48992.639319640904, 'Meat': 16330.879773213637, 'Processed Foods': 16330.879773213637}",Hospitality,364721.93,"{'Landfill': 175762.6122760534, 'Composting': 40735.85405997155, 'Recycling': 62570.07527882999}",35.5,High,128014864.4
Telangana,2010-01-01,34398158,157658.23,"{'Fruits': 39414.55666544556, 'Vegetables': 47297.467998534674, 'Grains': 31531.64533235645, 'Dairy': 23648.733999267337, 'Meat': 7882.911333089112, 'Processed Foods': 7882.911333089112}",Agriculture,140141.97,"{'Landfill': 104422.54897758995, 'Composting': 31126.38326549279, 'Recycling': 27618.420622330075}",18.36,Low,29827339.72
Tripura,2010-01-01,3122704,14312.39,"{'Fruits': 3578.0984636233175, 'Vegetables': 4293.718156347981, 'Grains': 2862.478770898654, 'Dairy': 2146.8590781739904, 'Meat': 715.6196927246635, 'Processed Foods': 715.6196927246635}",Food Processing,13264.07,"{'Landfill': 8062.223733519691, 'Composting': 2289.0492983666772, 'Recycling': 2658.4741251680825}",22.24,Low,245813.54
Uttar Pradesh,2010-01-01,197655235,905919.83,"{'Fruits': 226479.95743719343, 'Vegetables': 271775.9489246321, 'Grains': 181183.96594975475, 'Dairy': 135887.97446231605, 'Meat': 45295.99148743869, 'Processed Foods': 45295.99148743869}",Agriculture,794610.07,"{'Landfill': 461332.569010286, 'Composting': 197599.58995840704, 'Recycling': 111137.35690099902}",24.74,High,984828885.52
Uttarakhand,2010-01-01,9899591,45373.13,"{'Fruits': 11343.281507120048, 'Vegetables': 13611.937808544057, 'Grains': 9074.625205696038, 'Dairy': 6805.968904272028, 'Meat': 2268.6563014240096, 'Processed Foods': 2268.6563014240096}",Retail,47193.03,"{'Landfill': 31186.549512111127, 'Composting': 8530.3916801232, 'Recycling': 4922.327109666847}",20.87,Medium,2470464.68
West Bengal,2010-01-01,90717397,415788.07,"{'Fruits': 103947.01789200405, 'Vegetables': 124736.42147040485, 'Grains': 83157.61431360325, 'Dairy': 62368.210735202425, 'Meat': 20789.403578400812, 'Processed Foods': 20789.403578400812}",Food Processing,372512.41,"{'Landfill': 262666.8184054465, 'Composting': 65576.52718069834, 'Recycling': 72399.32740468113}",29.42,Low,207455664.55
Andhra Pradesh,2010-02-01,74045844,339376.79,"{'Fruits': 84844.19626392686, 'Vegetables': 101813.03551671223, 'Grains': 67875.35701114149, 'Dairy': 50906.517758356116, 'Meat': 16968.839252785372, 'Processed Foods': 16968.839252785372}",Food Processing,345898.97,"{'Landfill': 198518.72568122746, 'Composting': 56412.60830192867, 'Recycling': 54565.38157713583}",10.43,Low,138211922.68
Arunachal Pradesh,2010-02-01,1086738,4980.89,"{'Fruits': 1245.2217228561092, 'Vegetables': 1494.2660674273309, 'Grains': 996.1773782848874, 'Dairy': 747.1330337136654, 'Meat': 249.04434457122184, 'Processed Foods': 249.04434457122184}",Retail,5668.65,"{'Landfill': 3194.571683534267, 'Composting': 517.0069729920428, 'Recycling': 629.3407119967871}",22.76,Low,29771.08
Assam,2010-02-01,25778702,118152.39,"{'Fruits': 29538.09679435089, 'Vegetables': 35445.71615322107, 'Grains': 23630.477435480716, 'Dairy': 17722.858076610533, 'Meat': 5907.619358870179, 'Processed Foods': 5907.619358870179}",Hospitality,138554.3,"{'Landfill': 59705.30131522149, 'Composting': 17418.283511667214, 'Recycling': 14811.799070822251}",13.72,High,16751983.91
Bihar,2010-02-01,102226885,468539.89,"{'Fruits': 117134.97350841608, 'Vegetables': 140561.9682100993, 'Grains': 93707.97880673286, 'Dairy': 70280.98410504965, 'Meat': 23426.994701683216, 'Processed Foods': 23426.994701683216}",Food Processing,385420.28,"{'Landfill': 282705.8178100361, 'Composting': 82229.90085651207, 'Recycling': 68519.21117183461}",24.78,Medium,263435558.76
Chhattisgarh,2010-02-01,24672642,113082.95,"{'Fruits': 28270.736388866713, 'Vegetables': 33924.88366664005, 'Grains': 22616.589111093374, 'Dairy': 16962.441833320026, 'Meat': 5654.147277773343, 'Processed Foods': 5654.147277773343}",Agriculture,118179.61,"{'Landfill': 75011.25110533118, 'Composting': 26908.492354340226, 'Recycling': 15979.020968659866}",37.38,Medium,15345303.09
Goa,2010-02-01,1317550,6038.77,"{'Fruits': 1509.6937073890083, 'Vegetables': 1811.63244886681, 'Grains': 1207.7549659112067, 'Dairy': 905.816224433405, 'Meat': 301.93874147780167, 'Processed Foods': 301.93874147780167}",Food Processing,5320.13,"{'Landfill': 4062.357888677955, 'Composting': 1493.9158392183447, 'Recycling': 641.4097956416228}",18.93,High,43760.16
Gujarat,2010-02-01,59559434,272980.74,"{'Fruits': 68245.18517032858, 'Vegetables': 81894.22220439429, 'Grains': 54596.14813626287, 'Dairy': 40947.111102197145, 'Meat': 13649.037034065717, 'Processed Foods': 13649.037034065717}",Hospitality,296944.69,"{'Landfill': 142932.26459096535, 'Composting': 46017.52364079158, 'Recycling': 38841.089576585575}",31.37,High,89422181.74
Haryana,2010-02-01,24663111,113039.26,"{'Fruits': 28259.815674532096, 'Vegetables': 33911.77880943851, 'Grains': 22607.852539625677, 'Dairy': 16955.889404719255, 'Meat': 5651.963134906419, 'Processed Foods': 5651.963134906419}",Agriculture,105878.86,"{'Landfill': 70832.41130494994, 'Composting': 15620.93393569053, 'Recycling': 22125.255413497085}",17.87,High,15333449.89
Himachal Pradesh,2010-02-01,6030174,27638.3,"{'Fruits': 6909.575332926716, 'Vegetables': 8291.490399512059, 'Grains': 5527.660266341373, 'Dairy': 4145.745199756029, 'Meat': 1381.9150665853433, 'Processed Foods': 1381.9150665853433}",Agriculture,23569.52,"{'Landfill': 15172.056233690437, 'Composting': 7853.998962563798, 'Recycling': 5180.290832660664}",33.9,Low,916650.84
Jharkhand,2010-02-01,31985632,146600.81,"{'Fruits': 36650.20338814116, 'Vegetables': 43980.244065769395, 'Grains': 29320.16271051293, 'Dairy': 21990.122032884698, 'Meat': 7330.0406776282325, 'Processed Foods': 7330.0406776282325}",Household,142564.31,"{'Landfill': 101787.37667621412, 'Composting': 37489.99129755397, 'Recycling': 15828.12580360661}",30.81,High,25790158.24
Karnataka,2010-02-01,60105078,275481.61,"{'Fruits': 68870.40301782708, 'Vegetables': 82644.48362139249, 'Grains': 55096.32241426167, 'Dairy': 41322.24181069624, 'Meat': 13774.080603565417, 'Processed Foods': 13774.080603565417}",Retail,221865.59,"{'Landfill': 146399.21196048593, 'Composting': 56240.733448370695, 'Recycling': 27626.461807107833}",34.44,Medium,91068142.31
Kerala,2010-02-01,33065214,151548.9,"{'Fruits': 37887.22448302613, 'Vegetables': 45464.669379631356, 'Grains': 30309.779586420907, 'Dairy': 22732.334689815678, 'Meat': 7577.444896605227, 'Processed Foods': 7577.444896605227}",Hospitality,139307.85,"{'Landfill': 90146.47824140628, 'Composting': 44647.82427406554, 'Recycling': 30150.80321779397}",39.53,High,27560482.16
Madhya Pradesh,2010-02-01,70891846,324920.96,"{'Fruits': 81230.24097143937, 'Vegetables': 97476.28916572724, 'Grains': 64984.192777151504, 'Dairy': 48738.14458286362, 'Meat': 16246.048194287876, 'Processed Foods': 16246.048194287876}",Retail,363964.51,"{'Landfill': 183227.84457406087, 'Composting': 92851.56280148173, 'Recycling': 58671.06280421601}",24.61,Low,126688359.33
Maharashtra,2010-02-01,112592007,516046.7,"{'Fruits': 129011.67535006501, 'Vegetables': 154814.010420078, 'Grains': 103209.34028005201, 'Dairy': 77407.005210039, 'Meat': 25802.335070013003, 'Processed Foods': 25802.335070013003}",Household,571690.91,"{'Landfill': 314878.30117144255, 'Composting': 83824.21052348382, 'Recycling': 67736.59523346604}",10.47,Medium,319565037.63
Manipur,2010-02-01,2102577,9636.81,"{'Fruits': 2409.203341267382, 'Vegetables': 2891.0440095208583, 'Grains': 1927.3626730139056, 'Dairy': 1445.5220047604291, 'Meat': 481.8406682534764, 'Processed Foods': 481.8406682534764}",Retail,7896.12,"{'Landfill': 6321.0390709695475, 'Composting': 2351.061955944001, 'Recycling': 972.3916122305219}",17.26,Low,111441.81
Meghalaya,2010-02-01,2256507,10342.33,"{'Fruits': 2585.5813408697363, 'Vegetables': 3102.6976090436833, 'Grains': 2068.4650726957893, 'Dairy': 1551.3488045218417, 'Meat': 517.1162681739473, 'Processed Foods': 517.1162681739473}",Agriculture,11993.41,"{'Landfill': 6026.2735243787765, 'Composting': 2341.584529714836, 'Recycling': 2000.1388667864765}",11.08,High,128356.43
Mizoram,2010-02-01,883613,4049.9,"{'Fruits': 1012.4739609859572, 'Vegetables': 1214.9687531831487, 'Grains': 809.9791687887658, 'Dairy': 607.4843765915743, 'Meat': 202.49479219719146, 'Processed Foods': 202.49479219719146}",Hospitality,4648.57,"{'Landfill': 2826.154761951962, 'Composting': 729.4582804236906, 'Recycling': 748.1585399252681}",33.28,Medium,19681.99
Nagaland,2010-02-01,1948453,8930.41,"{'Fruits': 2232.6029935875163, 'Vegetables': 2679.1235923050194, 'Grains': 1786.082394870013, 'Dairy': 1339.5617961525097, 'Meat': 446.5205987175033, 'Processed Foods': 446.5205987175033}",Household,7400.68,"{'Landfill': 4937.549563250216, 'Composting': 2336.4819034107104, 'Recycling': 1076.7431804042342}",39.07,Medium,95702.71
Odisha,2010-02-01,40729021,186674.68,"{'Fruits': 46668.67007402714, 'Vegetables': 56002.40408883257, 'Grains': 37334.93605922171, 'Dairy': 28001.202044416284, 'Meat': 9333.734014805428, 'Processed Foods': 9333.734014805428}",Agriculture,212721.33,"{'Landfill': 100235.14448838664, 'Composting': 26939.163027440325, 'Recycling': 31959.90941276616}",31.55,Low,41816923.52
Punjab,2010-02-01,27282197,125043.4,"{'Fruits': 31260.850877789457, 'Vegetables': 37513.021053347344, 'Grains': 25008.680702231566, 'Dairy': 18756.510526673672, 'Meat': 6252.1701755578915, 'Processed Foods': 6252.1701755578915}",Household,115449.23,"{'Landfill': 72632.12645805335, 'Composting': 27870.86840323011, 'Recycling': 18007.746307133984}",28.29,High,18763023.31
Rajasthan,2010-02-01,68933520,315945.3,"{'Fruits': 78986.32558242693, 'Vegetables': 94783.59069891232, 'Grains': 63189.06046594155, 'Dairy': 47391.79534945616, 'Meat': 15797.265116485387, 'Processed Foods': 15797.265116485387}",Household,313101.86,"{'Landfill': 216231.70680614028, 'Composting': 91389.11535954832, 'Recycling': 35948.50225813785}",29.02,Low,119785720.88
Sikkim,2010-02-01,528230,2421.06,"{'Fruits': 605.2638346798954, 'Vegetables': 726.3166016158744, 'Grains': 484.2110677439163, 'Dairy': 363.1583008079372, 'Meat': 121.05276693597908, 'Processed Foods': 121.05276693597908}",Retail,2784.99,"{'Landfill': 1660.034876880395, 'Composting': 494.91877986009916, 'Recycling': 316.57292263742835}",25.43,Medium,7033.81
Tamil Nadu,2010-02-01,70515772,323197.29,"{'Fruits': 80799.3224805821, 'Vegetables': 96959.1869766985, 'Grains': 64639.45798446568, 'Dairy': 48479.59348834925, 'Meat': 16159.86449611642, 'Processed Foods': 16159.86449611642}",Agriculture,288017.53,"{'Landfill': 188807.52098616562, 'Composting': 57288.27434590065, 'Recycling': 59777.42439151433}",15.5,High,125347785.86
Telangana,2010-02-01,34146686,156505.65,"{'Fruits': 39126.41188083338, 'Vegetables': 46951.694257000054, 'Grains': 31301.129504666707, 'Dairy': 23475.847128500027, 'Meat': 7825.282376166677, 'Processed Foods': 7825.282376166677}",Household,126039.12,"{'Landfill': 94318.12799426289, 'Composting': 40763.37666346918, 'Recycling': 16977.15530253738}",28.97,Low,29392821.25
Tripura,2010-02-01,3165037,14506.42,"{'Fruits': 3626.605048946988, 'Vegetables': 4351.926058736385, 'Grains': 2901.2840391575905, 'Dairy': 2175.9630293681926, 'Meat': 725.3210097893976, 'Processed Foods': 725.3210097893976}",Retail,12215.66,"{'Landfill': 7700.11328391321, 'Composting': 3064.8881001764125, 'Recycling': 1627.0165841686674}",37.61,Low,252523.47
Uttar Pradesh,2010-02-01,199948048,916428.55,"{'Fruits': 229107.13840012412, 'Vegetables': 274928.5660801489, 'Grains': 183285.7107200993, 'Dairy': 137464.28304007446, 'Meat': 45821.427680024826, 'Processed Foods': 45821.427680024826}",Agriculture,919788.89,"{'Landfill': 612692.855732906, 'Composting': 138301.98898844043, 'Recycling': 170583.07637512882}",28.79,High,1007809552.63
Uttarakhand,2010-02-01,10092008,46255.04,"{'Fruits': 11563.760286556986, 'Vegetables': 13876.512343868382, 'Grains': 9251.00822924559, 'Dairy': 6938.256171934191, 'Meat': 2312.7520573113975, 'Processed Foods': 2312.7520573113975}",Agriculture,46561.21,"{'Landfill': 25169.448524422016, 'Composting': 6647.711643136025, 'Recycling': 5270.839713772963}",22.25,High,2567434.6
West Bengal,2010-02-01,88211553,404302.96,"{'Fruits': 101075.73894318398, 'Vegetables': 121290.88673182078, 'Grains': 80860.59115454719, 'Dairy': 60645.44336591039, 'Meat': 20215.147788636797, 'Processed Foods': 20215.147788636797}",Retail,325452.67,"{'Landfill': 243221.09872570017, 'Composting': 119983.52079971242, 'Recycling': 64760.75528493135}",27.71,Low,196153056.06
Andhra Pradesh,2010-03-01,75168685,344523.14,"{'Fruits': 86130.7850559134, 'Vegetables': 103356.94206709607, 'Grains': 68904.62804473072, 'Dairy': 51678.471033548034, 'Meat': 17226.15701118268, 'Processed Foods': 17226.15701118268}",Household,408633.51,"{'Landfill': 220010.38697176892, 'Composting': 38545.70414257656, 'Recycling': 56384.72069179239}",18.88,High,142435432.98
Arunachal Pradesh,2010-03-01,1093318,5011.04,"{'Fruits': 1252.7611962521767, 'Vegetables': 1503.313435502612, 'Grains': 1002.2089570017414, 'Dairy': 751.656717751306, 'Meat': 250.55223925043535, 'Processed Foods': 250.55223925043535}",Hospitality,5427.49,"{'Landfill': 3265.72266759419, 'Composting': 1265.3233972230275, 'Recycling': 749.0131131059742}",26.41,Low,30132.68
Assam,2010-03-01,25835292,118411.76,"{'Fruits': 29602.939695622048, 'Vegetables': 35523.52763474645, 'Grains': 23682.35175649764, 'Dairy': 17761.763817373227, 'Meat': 5920.58793912441, 'Processed Foods': 5920.58793912441}",Household,137403.67,"{'Landfill': 64120.64408130382, 'Composting': 20318.87000255403, 'Recycling': 18373.181117815027}",23.67,Medium,16825613.54
Bihar,2010-03-01,103539228,474554.8,"{'Fruits': 118638.69959681827, 'Vegetables': 142366.4395161819, 'Grains': 94910.95967745462, 'Dairy': 71183.21975809096, 'Meat': 23727.739919363656, 'Processed Foods': 23727.739919363656}",Retail,433300.34,"{'Landfill': 272789.20997677476, 'Composting': 66336.29765861396, 'Recycling': 93244.73339969585}",35.64,High,270242708.01
Chhattisgarh,2010-03-01,25163331,115331.94,"{'Fruits': 28832.98445845704, 'Vegetables': 34599.581350148444, 'Grains': 23066.387566765632, 'Dairy': 17299.790675074222, 'Meat': 5766.596891691408, 'Processed Foods': 5766.596891691408}",Food Processing,135213.34,"{'Landfill': 74594.48062623048, 'Composting': 16800.432593003286, 'Recycling': 20389.045411676798}",18.29,High,15961747.06
Goa,2010-03-01,1312122,6013.9,"{'Fruits': 1503.4739134781792, 'Vegetables': 1804.1686961738149, 'Grains': 1202.7791307825435, 'Dairy': 902.0843480869074, 'Meat': 300.69478269563587, 'Processed Foods': 300.69478269563587}",Food Processing,7193.24,"{'Landfill': 3740.598656000565, 'Composting': 1714.898344912636, 'Recycling': 896.3670352850955}",10.97,High,43400.33
Gujarat,2010-03-01,59577330,273062.76,"{'Fruits': 68265.69119369256, 'Vegetables': 81918.82943243107, 'Grains': 54612.55295495405, 'Dairy': 40959.414716215535, 'Meat': 13653.138238738513, 'Processed Foods': 13653.138238738513}",Food Processing,318250.51,"{'Landfill': 174789.0397187021, 'Composting': 49578.86396358471, 'Recycling': 48084.6511750537}",15.87,Low,89475928.21
Haryana,2010-03-01,24807051,113698.98,"{'Fruits': 28424.746128631996, 'Vegetables': 34109.695354358395, 'Grains': 22739.796902905597, 'Dairy': 17054.847677179197, 'Meat': 5684.949225726399, 'Processed Foods': 5684.949225726399}",Household,127528.95,"{'Landfill': 73175.20419662741, 'Composting': 19339.215170689848, 'Recycling': 18591.869212688332}",30.71,High,15512950.9
Himachal Pradesh,2010-03-01,6092381,27923.42,"{'Fruits': 6980.853895884931, 'Vegetables': 8377.024675061917, 'Grains': 5584.683116707945, 'Dairy': 4188.512337530959, 'Meat': 1396.1707791769863, 'Processed Foods': 1396.1707791769863}",Retail,28733.86,"{'Landfill': 16803.18313774724, 'Composting': 3203.0974674930453, 'Recycling': 4716.258719328964}",17.76,Low,935660.57
Jharkhand,2010-03-01,32358232,148308.57,"{'Fruits': 37077.14195962403, 'Vegetables': 44492.570351548835, 'Grains': 29661.713567699226, 'Dairy': 22246.285175774417, 'Meat': 7415.428391924806, 'Processed Foods': 7415.428391924806}",Household,121398.83,"{'Landfill': 95300.26108457735, 'Composting': 20516.854571967135, 'Recycling': 25356.053187901805}",15.15,Low,26394517.55
Karnataka,2010-03-01,61263235,280789.83,"{'Fruits': 70197.45722039661, 'Vegetables': 84236.94866447593, 'Grains': 56157.96577631729, 'Dairy': 42118.474332237965, 'Meat': 14039.491444079322, 'Processed Foods': 14039.491444079322}",Food Processing,285875.54,"{'Landfill': 183367.7682944358, 'Composting': 69034.16165143812, 'Recycling': 28131.05046134105}",16.58,High,94611513.6
Kerala,2010-03-01,33298458,152617.93,"{'Fruits': 38154.48358488715, 'Vegetables': 45785.38030186458, 'Grains': 30523.586867909722, 'Dairy': 22892.69015093229, 'Meat': 7630.8967169774305, 'Processed Foods': 7630.8967169774305}",Household,134343.19,"{'Landfill': 79570.3004549556, 'Composting': 45020.78247766688, 'Recycling': 24422.643428863506}",37.25,Medium,27950680.66
Madhya Pradesh,2010-03-01,71237421,326504.85,"{'Fruits': 81626.21164621344, 'Vegetables': 97951.45397545613, 'Grains': 65300.96931697076, 'Dairy': 48975.72698772806, 'Meat': 16325.24232924269, 'Processed Foods': 16325.24232924269}",Agriculture,352094.49,"{'Landfill': 219272.7663324537, 'Composting': 83627.00598405553, 'Recycling': 60825.941788060685}",11.18,Low,127926497.81
Maharashtra,2010-03-01,109140548,500227.51,"{'Fruits': 125056.8786255074, 'Vegetables': 150068.25435060886, 'Grains': 100045.50290040592, 'Dairy': 75034.12717530443, 'Meat': 25011.37572510148, 'Processed Foods': 25011.37572510148}",Retail,574589.84,"{'Landfill': 282689.6220477889, 'Composting': 56053.12091543109, 'Recycling': 65347.10788128293}",11.36,Low,300273079.52
Manipur,2010-03-01,2161101,9905.05,"{'Fruits': 2476.2615651423666, 'Vegetables': 2971.5138781708397, 'Grains': 1981.0092521138934, 'Dairy': 1485.7569390854198, 'Meat': 495.25231302847334, 'Processed Foods': 495.25231302847334}",Retail,10121.17,"{'Landfill': 6848.316310742704, 'Composting': 1852.6872811676112, 'Recycling': 1600.1167337237089}",18.77,Medium,117731.93
