Shop ID,Name,Owner Name,City,State,Latitude,Longitude,Past Performance Score (0-100),Rice Capacity (kg),Rice Current Inventory (kg),Rice Price (INR/kg),Wheat Capacity (kg),Wheat Current Inventory (kg),Wheat Price (INR/kg),Dal Capacity (kg),Dal Current Inventory (kg),Dal Price (INR/kg),Sugar Capacity (kg),Sugar Current Inventory (kg),Sugar Price (INR/kg),Oil Capacity (kg),Oil Current Inventory (kg),Oil Price (INR/kg)
69,Handa and Sons,Bachittar Gopal,Mumbai,Maharashtra,19.104049570754608,72.85545871726295,55,609,110,37.53,4339,132,99.42,1859,394,51.42,4472,222,45.24,1700,377,66.31
70,"Sen, Dey and Sami",Timothy Chawla,Lucknow,Uttar Pradesh,26.79800944565883,80.96255373720167,91,691,136,29.03,1960,79,82.69,2015,351,75.65,1304,80,83.4,2294,305,61.77
71,Mallick Group,Lohit Narula,Pune,Maharashtra,18.567954131568275,73.8525988988017,53,1403,231,67.71,4485,270,93.76,539,379,95.03,1298,265,30.44,3201,59,20.71
72,Borra Group,Wazir Palan,Hyderabad,Telangana,17.376462412372703,78.44523496680786,78,1361,479,58.78,1916,240,35.6,1882,154,63.39,3775,154,81.01,1954,124,58.86
73,"Chaudhari, Bedi and Zachariah",Oliver Chakrabarti,Ahmedabad,Gujarat,23.022719501033126,72.580938501732,67,1583,467,22.15,3353,27,96.85,2530,276,81.47,1110,372,25.47,2433,466,87.01
74,Chander and Sons,Sanya Apte,Pune,Maharashtra,18.513078890533674,73.88667820220743,75,1149,219,50.44,1928,222,31.41,3121,235,27.14,2306,232,21.01,1246,115,37.57
75,Ray Group,Shaurya Krish,Mumbai,Maharashtra,19.02965496678481,72.874906694511,93,4634,480,28.49,4878,22,60.73,2400,239,36.89,4738,398,91.86,1340,390,48.1
76,Kala-Rattan,Inaya Kunda,Ahmedabad,Gujarat,23.03124536042341,72.55080446792209,83,4111,67,62.51,4974,495,86.38,2717,369,60.17,3760,315,66.51,2995,423,21.65
77,Gala Group,Aarav Bava,Bangalore,Karnataka,12.966928883474804,77.59703902693276,59,1136,301,51.66,4793,108,47.98,1783,12,21.6,4867,235,48.15,1588,172,98.15
78,Ramakrishnan LLC,Raksha Saini,Mumbai,Maharashtra,19.066076306087535,72.88366403313083,85,1536,248,69.05,3562,106,53.99,1083,341,40.23,3871,158,38.61,1292,186,25.33
79,Mangal-Sampath,Odika Tailor,Hyderabad,Telangana,17.353192813049528,78.52287856210135,63,4631,481,84.45,3571,144,30.25,958,34,61.39,2973,404,69.35,1767,497,91.86
80,"Sur, Dubey and Gupta",Indali Prashad,Pune,Maharashtra,18.545724622074744,73.83393018547203,80,2648,495,43.97,1055,368,29.83,2765,46,21.2,2593,315,60.72,2050,87,45.04
81,Kalla-Bhardwaj,Varenya Kar,Bangalore,Karnataka,12.985999954323901,77.58547341710981,97,4365,322,96.97,855,353,69.57,3166,213,41.16,2642,250,99.33,3190,202,67.0
82,"Bhat, Murthy and Bhandari",Siya Borah,Pune,Maharashtra,18.568293143561593,73.89067888594566,64,3657,409,62.85,2063,396,74.04,1315,411,61.12,4501,313,98.66,792,360,74.35
83,Sood PLC,Chaitaly Bahri,Pune,Maharashtra,18.536292394191015,73.80940959925036,57,4087,391,69.46,4000,397,82.19,3011,404,65.85,3580,424,70.8,4522,310,31.27
84,"Dugar, Bhandari and Trivedi",Advika Cheema,Pune,Maharashtra,18.495788856404328,73.82631130996936,63,3794,5,74.45,1540,138,64.53,746,493,94.06,1932,429,55.43,1904,319,55.5
85,Grewal Inc,Hema Garde,Ahmedabad,Gujarat,22.98291085819846,72.60139160853731,72,4761,463,73.34,3186,283,71.66,916,145,71.63,3017,300,59.29,2148,448,46.04
86,"Bir, Keer and Raval",Naveen Borde,Bangalore,Karnataka,13.010346048251352,77.60027215847833,89,2930,279,60.88,4974,297,21.08,4963,158,53.18,3357,379,74.6,3316,181,24.53
87,Koshy PLC,Hamsini Subramanian,Ahmedabad,Gujarat,22.982444139275934,72.54571721909994,70,2379,431,54.3,3053,479,32.97,4217,443,94.43,1005,281,28.13,4410,351,86.66
88,"Baral, Bumb and Saini",Raagini Gala,Ahmedabad,Gujarat,23.05318501489626,72.61766493185549,65,4466,486,24.3,2279,98,98.79,607,124,82.79,1596,101,46.27,3418,167,23.61
89,"Virk, Mutti and Lal",Naksh Bera,Hyderabad,Telangana,17.401808513657066,78.45719842954158,94,4213,93,21.77,575,316,26.08,3131,109,36.0,4679,50,26.02,1897,180,72.26
90,Murthy and Sons,Garima Jha,Pune,Maharashtra,18.56003358185211,73.80800019235107,67,4626,428,48.64,4826,122,74.3,1338,36,30.47,4654,419,25.87,2193,299,45.13
91,Randhawa-Deep,Nimrat Zachariah,Pune,Maharashtra,18.5439904613196,73.8915128095467,96,4606,268,46.69,3819,319,34.09,1921,276,74.06,1544,51,35.67,1537,446,35.37
92,"Mital, Shankar and Mutti",Baghyawati Mishra,Bangalore,Karnataka,12.97990415609697,77.58674245505925,73,2511,196,51.02,2849,286,77.34,4412,13,64.79,2704,208,58.82,4352,129,73.37
93,Andra Group,Gopal Bawa,Delhi,Delhi,28.65496240035403,77.22147612710432,75,3873,24,31.07,3273,80,76.48,755,472,83.17,4402,306,82.78,2062,462,65.96
94,"Chaudhry, Borah and Yogi",Vritti Dube,Lucknow,Uttar Pradesh,26.879210733142266,80.93250592121952,74,2643,147,79.05,2762,494,38.74,3327,346,79.1,1852,130,58.84,1612,148,45.22
95,Toor LLC,Jalsa Aggarwal,Pune,Maharashtra,18.497206364082285,73.86911489078491,94,3000,117,88.56,3729,456,41.57,1337,231,70.02,2096,269,46.84,1791,471,61.04
96,Palla Inc,Gagan Menon,Kolkata,West Bengal,22.599983452320135,88.35017578946659,90,1789,337,95.1,2616,9,72.38,3462,315,98.91,1075,432,26.59,1661,305,39.7
97,Pingle LLC,Ryan Chatterjee,Chennai,Tamil Nadu,13.062146575954193,80.31554533069622,78,1947,366,59.39,892,7,51.21,2782,123,62.69,1179,204,64.02,1529,208,89.1
98,Sarma PLC,Samuel Garde,Kolkata,West Bengal,22.600575877478803,88.32532379259204,64,3699,337,76.07,1608,404,35.56,1052,278,29.05,4798,488,41.7,4837,110,45.11
99,"Mittal, Wadhwa and Anand",Finn Solanki,Ahmedabad,Gujarat,23.071036731224176,72.56850654526937,94,2443,65,88.44,4862,204,78.53,680,478,86.26,4212,218,69.19,4757,435,39.61
100,"Mistry, Chawla and Desai",Darika Rao,Mumbai,Maharashtra,19.074477836715037,72.8789457655882,50,3683,457,53.46,1110,314,32.33,4752,110,40.15,4328,256,98.18,3239,499,80.15
101,D’Alia-Chhabra,Vrinda Lanka,Jaipur,Rajasthan,26.916563421466087,75.80064782198262,74,3716,300,44.75,3275,433,88.45,1977,123,82.18,1629,184,28.91,1478,136,21.41
102,"Dugal, Magar and Manda",Lila Goyal,Pune,Maharashtra,18.492202310749406,73.87120541677693,56,3636,369,94.94,4498,196,61.17,1070,412,96.57,4404,144,36.97,1017,354,41.44
103,"Kade, Oza and Jani",Lakshmi Pingle,Hyderabad,Telangana,17.348227621112535,78.52675723012364,58,3818,174,61.25,1172,197,28.46,2227,430,75.74,3693,495,57.85,1282,403,50.03
104,"Lalla, Tiwari and Suresh",Sanaya Basu,Delhi,Delhi,28.591130732651937,77.16083906765475,73,3282,318,59.78,4177,29,75.53,1091,29,67.68,817,177,97.49,3331,210,90.58
105,Behl-Chanda,Ria Shroff,Delhi,Delhi,28.61686616786551,77.24050544284025,50,1490,75,34.27,530,478,61.53,2760,114,56.83,4196,481,81.74,4680,145,96.04
106,"Sampath, Malhotra and Basu",Upkaar Luthra,Jaipur,Rajasthan,26.889805522068723,75.79271780025158,93,2653,494,28.65,1900,400,43.84,3447,89,49.15,3496,13,91.86,637,83,77.32
107,Nath and Sons,Matthew Chatterjee,Jaipur,Rajasthan,26.91214648939799,75.80932025816323,57,725,460,87.37,4571,458,53.8,847,211,48.24,4094,245,46.7,1253,29,59.4
108,"Lala, Edwin and Sathe",Hemangini Sachdev,Chennai,Tamil Nadu,13.033799582865848,80.23438856300689,73,1276,113,69.13,1116,19,43.87,665,37,70.91,3709,186,99.36,3453,487,71.25
109,"Sane, Andra and Choudhury",Darsh Ram,Jaipur,Rajasthan,26.88904983933709,75.8105184578459,60,3337,110,46.07,3286,47,41.04,4943,82,80.1,3042,336,28.23,2955,64,53.12
110,Dixit PLC,Vaishnavi Keer,Delhi,Delhi,28.623951686043366,77.22550366745463,100,1187,248,35.34,1370,456,33.09,3396,26,74.28,1178,258,24.24,3334,23,43.91
111,Pingle PLC,Chandani Brar,Pune,Maharashtra,18.52772943781794,73.89051069631783,66,1029,438,64.44,4696,129,49.02,4993,216,35.87,2389,353,88.45,1079,471,96.06
112,"Divan, Sani and Datta",Bakhshi Thakkar,Chennai,Tamil Nadu,13.07101385282495,80.2725917705283,57,3942,202,66.71,4104,292,40.08,1082,359,59.52,2143,39,94.18,3755,430,29.23
113,Morar LLC,Jai Sen,Delhi,Delhi,28.58052833687561,77.23280336164264,84,2653,146,36.56,1912,384,74.67,4006,485,83.33,1334,88,27.25,3766,210,47.71
114,Parmar and Sons,Oliver Kakar,Bangalore,Karnataka,12.930633696057761,77.62169859255354,84,1794,34,88.11,3239,131,74.71,4903,371,58.06,2741,124,29.07,895,221,91.93
115,"Krish, Chauhan and Pandya",Jonathan Basak,Chennai,Tamil Nadu,13.116407899070303,80.26441933963572,82,2026,486,26.74,1440,355,60.15,3538,214,62.93,2855,449,22.65,2437,89,77.85
116,"Ray, Dubey and Khalsa",Farhan Saran,Hyderabad,Telangana,17.406904590518426,78.46641217156231,54,3396,308,48.49,840,53,82.24,3345,220,81.69,2168,417,28.36,3089,105,22.33
117,Goel Group,Manbir Kuruvilla,Bangalore,Karnataka,13.016530679705777,77.5842649373052,91,3603,25,74.43,3408,377,87.31,3266,14,72.9,3053,473,36.75,3534,171,21.85
118,Gola Ltd,Ekalinga Chahal,Ahmedabad,Gujarat,23.066182973932477,72.59465720972102,88,2940,237,41.93,4633,280,66.38,4694,442,52.75,780,350,97.61,669,229,61.32
119,Sabharwal-Kothari,Mekhala Nanda,Mumbai,Maharashtra,19.05299112223922,72.88168427789083,90,4635,13,86.21,1159,386,69.51,1765,258,91.63,3262,8,73.43,2837,412,58.74
120,Dutta-Chokshi,Zinal Shanker,Bangalore,Karnataka,12.981107793070025,77.54974258134843,77,4302,373,79.19,2533,264,42.63,4753,265,33.01,1746,349,82.28,3739,76,55.44
121,Barad-Singhal,Oni Chowdhury,Delhi,Delhi,28.6262332550905,77.20642373087004,56,1344,44,83.12,2060,469,91.59,3467,462,99.64,2272,83,82.09,3915,67,44.19
122,Iyengar Group,Mason Divan,Jaipur,Rajasthan,26.869913778173583,75.81011887562036,58,946,427,29.53,3957,214,21.94,2774,119,29.51,2664,20,62.81,4068,364,98.93
123,Mody-Kari,Hitesh Chaudhuri,Jaipur,Rajasthan,26.9328925549689,75.79712860582681,57,4415,215,31.24,2156,459,47.89,2970,463,21.2,691,476,83.8,3716,400,41.76
124,Bajwa Ltd,Hemangini Roy,Jaipur,Rajasthan,26.887040203323913,75.81921023176743,61,3609,232,42.92,3475,457,77.74,2790,400,91.2,3335,280,67.66,3984,352,59.2
125,Rastogi LLC,Leela Sunder,Chennai,Tamil Nadu,13.032933939062579,80.31746993882071,83,1734,192,61.45,1549,289,26.41,3077,127,39.6,3165,357,45.16,2341,388,52.39
126,Boase-Mallick,Baljiwan Gera,Kolkata,West Bengal,22.58162306668691,88.34999738969401,82,726,50,79.84,953,42,34.65,4160,210,78.38,3063,377,64.89,4260,91,33.62
127,Upadhyay-Ratta,Neha Dhawan,Mumbai,Maharashtra,19.039681863091896,72.92272373538208,97,4643,426,86.92,2204,73,67.14,1568,10,84.88,806,171,62.68,3526,87,36.21
128,"Yadav, Narula and Bala",Balvan Randhawa,Pune,Maharashtra,18.522530066741357,73.81537052118622,72,3459,374,76.35,3284,349,64.8,3236,175,88.72,1031,24,85.88,4465,464,93.46
129,Lal and Sons,Wazir Bawa,Ahmedabad,Gujarat,23.04833924139457,72.58529493853342,73,2330,213,94.29,1318,277,79.11,2450,132,99.33,4717,392,98.54,2101,49,88.66
130,"Lanka, Barad and Chopra",Amruta Pradhan,Mumbai,Maharashtra,19.091878336671073,72.8969276564518,86,4279,150,79.1,512,325,85.01,591,324,43.52,3196,102,52.88,1646,102,35.92
131,"Saraf, Pai and Murthy",Geetika Mitter,Kolkata,West Bengal,22.620657680018,88.4042363812636,84,686,439,44.5,4479,241,30.29,3593,319,76.82,558,189,81.07,4826,367,90.05
132,Vaidya-D’Alia,Avni Swamy,Lucknow,Uttar Pradesh,26.80185958066587,80.96319174645501,93,3377,274,41.21,1420,129,21.47,2719,13,29.23,2073,235,27.98,3184,423,36.73
133,Gupta-Kumar,Vedant Desai,Lucknow,Uttar Pradesh,26.855526375696993,80.99613534995659,89,3035,337,75.7,2918,349,75.17,1887,49,52.54,1640,409,82.15,611,491,70.12
134,Sarin Inc,Saanvi Nagi,Lucknow,Uttar Pradesh,26.85349452305526,80.98774882975881,71,2432,75,35.43,1814,193,44.11,4774,409,87.84,2310,312,49.71,1092,45,26.5
135,"Yohannan, Hegde and Patla",Omaja Chakraborty,Chennai,Tamil Nadu,13.105802367145829,80.23995990277857,76,3424,438,27.42,4177,31,70.08,2785,71,49.41,3698,36,23.15,2939,178,90.43
136,Boase-Narayanan,Riya Kakar,Ahmedabad,Gujarat,23.069605824516536,72.61582664891134,84,1348,219,62.58,2517,105,32.04,3706,68,67.29,3976,271,49.06,1738,266,24.12
137,"Murthy, Dash and Mital",Vedhika Varty,Delhi,Delhi,28.638406454812024,77.16448826146465,50,2532,347,85.73,1728,399,57.52,3424,390,60.3,4994,292,68.85,3294,267,64.4
138,"More, Rege and Narain",Daksh Varma,Bangalore,Karnataka,12.953510047324325,77.62749154741506,84,1752,443,28.11,2934,203,60.35,779,382,71.68,3062,331,29.54,2914,396,82.38
